epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6334.24,1.14357,1.20189,1.20538,0.7048,0.57624,0.65188,0.45122,1.1722,1.10625,1.18166,0.003235,0.003235,0.003235
43,6476.3,1.13229,1.18666,1.19902,0.70169,0.58017,0.65296,0.45253,1.16456,1.10228,1.17815,0.00307,0.00307,0.00307
44,6618.77,1.13263,1.18093,1.19903,0.69991,0.57993,0.65278,0.45322,1.16585,1.09629,1.17638,0.002905,0.002905,0.002905
45,6760.35,1.12502,1.16914,1.19498,0.70516,0.57733,0.65506,0.45529,1.16506,1.09171,1.17634,0.00274,0.00274,0.00274
46,6902.8,1.11426,1.16598,1.19,0.71443,0.57442,0.65787,0.45737,1.16443,1.08922,1.17516,0.002575,0.002575,0.002575
47,7046.08,1.11329,1.15793,1.18928,0.72275,0.57453,0.66012,0.45876,1.16144,1.08476,1.17283,0.00241,0.00241,0.00241
48,7187.3,1.10992,1.13676,1.18713,0.72083,0.5804,0.66179,0.46025,1.15881,1.08147,1.1702,0.002245,0.002245,0.002245
49,7329.83,1.11787,1.14556,1.18543,0.72924,0.57334,0.66211,0.4613,1.15626,1.08131,1.1682,0.00208,0.00208,0.00208
50,7471.19,1.10427,1.1329,1.18316,0.72017,0.57756,0.66227,0.46156,1.15777,1.08008,1.16959,0.001915,0.001915,0.001915
51,7612.97,1.11831,1.06371,1.17647,0.71895,0.5812,0.66311,0.46215,1.15735,1.07747,1.17095,0.00175,0.00175,0.00175
52,7754.12,1.1098,1.04562,1.17361,0.72208,0.58064,0.66378,0.46297,1.1543,1.07735,1.16926,0.001585,0.001585,0.001585
53,7894.37,1.10546,1.02922,1.17148,0.71665,0.58718,0.66388,0.4632,1.15311,1.07559,1.16761,0.00142,0.00142,0.00142
54,8035.11,1.09447,1.01671,1.15999,0.72497,0.58128,0.66458,0.46392,1.15321,1.07387,1.16693,0.001255,0.001255,0.001255
55,8175.1,1.08463,0.99989,1.15723,0.72556,0.57796,0.66499,0.46416,1.15311,1.0736,1.16698,0.00109,0.00109,0.00109
56,8316.1,1.08697,0.99696,1.15531,0.72301,0.58052,0.66486,0.46453,1.15262,1.07315,1.16809,0.000925,0.000925,0.000925
57,8455.99,1.0785,0.98038,1.15108,0.72278,0.58128,0.66493,0.46462,1.15112,1.0723,1.16722,0.00076,0.00076,0.00076
58,8597.18,1.07672,0.97603,1.15119,0.73343,0.57524,0.6647,0.46459,1.15197,1.07223,1.16787,0.000595,0.000595,0.000595
59,8739.41,1.06701,0.96158,1.14541,0.7344,0.57625,0.66446,0.46429,1.15313,1.07193,1.16856,0.00043,0.00043,0.00043
60,8879.77,1.06451,0.95498,1.14231,0.73355,0.57669,0.6642,0.46377,1.15321,1.07169,1.16869,0.000265,0.000265,0.000265
